Time_Stamp_flow,Final_Flow,Time_Stamp_depth,Final_Depth_in,Time_Stamp_vel,Final_Velocity
4/28/2010 7:15,0.414,4/28/2010 8:45,4.092,4/28/2010 12:00,1.784
4/28/2010 7:30,0.402,4/28/2010 9:00,4.018,4/28/2010 12:15,1.758
4/28/2010 7:45,0.373,4/28/2010 9:15,4.468,4/28/2010 12:30,1.732
4/28/2010 8:00,0.358,4/28/2010 9:30,,4/28/2010 12:45,1.706
4/28/2010 8:15,0.336,4/28/2010 9:45,4.2823,4/28/2010 13:00,1.68
4/28/2010 8:30,0.338,4/28/2010 10:00,4.1894,4/28/2010 13:15,1.7723
4/28/2010 8:45,0.319,4/28/2010 10:15,4.0966,4/28/2010 13:30,1.8772
4/28/2010 9:00,0.297,4/28/2010 10:30,4.0037,4/28/2010 13:45,1.8268
4/28/2010 9:15,0.372,4/28/2010 10:45,3.9109,4/28/2010 14:00,1.6797
4/28/2010 9:30,,4/28/2010 11:00,3.818,4/28/2010 14:15,1.6524
4/28/2010 9:45,0.3443,4/28/2010 11:15,3.839,4/28/2010 14:30,1.8014
4/28/2010 10:00,0.3304,4/28/2010 11:30,3.86,4/28/2010 14:45,1.8292
4/28/2010 10:15,0.3166,4/28/2010 11:45,3.881,4/28/2010 15:00,1.7114
4/28/2010 10:30,0.3027,4/28/2010 12:00,3.902,4/28/2010 15:15,1.715
4/28/2010 10:45,0.2889,4/28/2010 12:15,3.867,4/28/2010 15:30,1.7648
4/28/2010 11:00,0.275,4/28/2010 12:30,3.832,4/28/2010 15:45,1.8179
4/28/2010 11:15,0.2795,4/28/2010 12:45,3.797,4/28/2010 16:00,1.749
4/28/2010 11:30,0.284,4/28/2010 13:00,3.762,4/28/2010 16:15,1.7078
4/28/2010 11:45,0.2885,4/28/2010 13:15,3.8558,4/28/2010 16:30,1.7593
4/28/2010 12:00,0.293,4/28/2010 13:30,4.2149,4/28/2010 16:45,1.7756
4/28/2010 12:15,0.2852,4/28/2010 13:45,3.8361,4/28/2010 17:00,1.6536
4/28/2010 12:30,0.2773,4/28/2010 14:00,3.8431,4/28/2010 17:15,1.721
4/28/2010 12:45,0.2695,4/28/2010 14:15,3.8322,4/28/2010 17:30,1.8083
4/28/2010 13:00,0.2617,4/28/2010 14:30,3.8374,4/28/2010 17:45,1.8145
4/28/2010 13:15,0.2858,4/28/2010 14:45,3.7835,4/28/2010 18:00,1.6684
4/28/2010 13:30,0.343,4/28/2010 15:00,3.79,4/28/2010 18:15,1.8266
4/28/2010 13:45,0.2925,4/28/2010 15:15,3.7858,4/28/2010 18:30,1.7586
4/28/2010 14:00,0.2696,4/28/2010 15:30,3.7724,4/28/2010 18:45,2.0043
4/28/2010 16:30,0.2904,4/28/2010 15:45,3.924,4/28/2010 19:00,1.7386
4/28/2010 16:45,0.2826,4/28/2010 16:00,3.7916,4/28/2010 19:15,1.7645
4/28/2010 17:00,0.2675,4/28/2010 16:15,3.9233,4/28/2010 19:30,1.8913
4/28/2010 17:15,0.2826,4/28/2010 16:30,3.9199,4/28/2010 19:45,1.7884
4/28/2010 17:30,0.3028,4/28/2010 16:45,3.82,4/28/2010 20:00,1.7758
4/28/2010 17:45,0.3035,4/28/2010 17:00,3.8646,4/28/2010 20:15,1.8619
4/28/2010 18:00,0.273,4/28/2010 17:15,3.9061,4/28/2010 20:30,1.8746
4/28/2010 18:15,0.3001,4/28/2010 17:30,3.9603,4/28/2010 20:45,1.6934
4/28/2010 18:30,0.2943,4/28/2010 17:45,3.9572,4/28/2010 21:00,1.7813
4/28/2010 18:45,0.4045,4/28/2010 18:00,3.8955,4/28/2010 21:15,1.7735
4/28/2010 19:00,0.3097,4/28/2010 18:15,3.9072,4/28/2010 21:30,1.7378
4/28/2010 19:15,0.3046,4/28/2010 18:30,3.959,4/28/2010 21:45,1.763
4/28/2010 19:30,0.3412,4/28/2010 18:45,4.5273,4/28/2010 22:00,1.8004
4/28/2010 19:45,0.3177,4/28/2010 19:00,4.1396,4/28/2010 22:15,1.7381
4/28/2010 20:00,0.3131,4/28/2010 19:15,4.0475,4/28/2010 22:30,1.8037
4/28/2010 20:15,0.3315,4/28/2010 19:30,4.1771,4/28/2010 22:45,1.8208
4/28/2010 20:30,0.3246,4/28/2010 19:45,4.1308,4/28/2010 23:00,1.7621
4/28/2010 20:45,0.2828,4/28/2010 20:00,4.1085,4/28/2010 23:15,1.7476
4/28/2010 21:00,0.2998,4/28/2010 20:15,4.1374,4/28/2010 23:30,1.7545
4/28/2010 21:15,0.302,4/28/2010 20:30,4.0564,4/28/2010 23:45,1.718
4/28/2010 21:30,0.3051,4/28/2010 20:45,3.9531,,
4/28/2010 21:45,0.3031,4/28/2010 21:00,3.9754,,
4/28/2010 22:00,0.3317,4/28/2010 21:15,4.008,,
4/28/2010 22:15,0.2933,4/28/2010 21:30,4.0969,,
4/28/2010 22:30,0.3197,4/28/2010 21:45,4.0357,,
4/28/2010 22:45,0.3305,,,,
4/28/2010 23:00,0.2868,,,,
4/28/2010 23:15,0.2738,,,,
4/28/2010 23:30,0.285,,,,
4/28/2010 23:45,0.2728,,,,
